Zmin,Zmax,radius,to_check
-3000.0,-2940.0,32.01051493117108,All
-2940.0,-2880.0,30.237408042251143,All
-2880.0,-2820.0,30.105843013313926,All
-2820.0,-2760.0,29.69835260251077,All
-2760.0,-2700.0,30.676224246517645,All
-2700.0,-2640.0,32.849270721196355,All
-2640.0,-2580.0,34.78241325459235,All
-2580.0,-2520.0,35.1593820732451,All
-2520.0,-2460.0,27.18741107001209,All
-2460.0,-2400.0,34.27743527796227,All
-2400.0,-2340.0,30.9701264225872,All
-2340.0,-2280.0,30.561142360675287,All
-2280.0,-2220.0,30.424071919504176,All
-2220.0,-2160.0,32.99762365186974,All
-2160.0,-2100.0,356.263544378698,All
-2100.0,-2040.0,376.9782017810518,All
-2040.0,-1980.0,422.27534474628976,All
-1980.0,-1920.0,315.70177139927443,All
-1920.0,-1860.0,356.8678734069667,All
-1860.0,-1800.0,318.2406643779092,All
-1800.0,-1740.0,356.4434456456546,All
-1740.0,-1680.0,321.9098190742762,All
-1680.0,-1620.0,368.1372906835759,All
-1620.0,-1560.0,314.5286015954232,All
-1560.0,-1500.0,286.20035196563333,All
-1500.0,-1440.0,366.9880923922522,All
-1440.0,-1380.0,288.0792819918323,All
-1380.0,-1320.0,341.43955526169435,All
-1320.0,-1260.0,291.7740638339364,All
-1260.0,-1200.0,395.7040892587323,All
-1200.0,-1140.0,314.04685267850664,All
-1140.0,-1080.0,400.73341432559545,All
-1080.0,-1020.0,425.6317651449256,All
-1020.0,-960.0,418.07353830115255,All
-960.0,-900.0,353.357368778528,All
-900.0,-840.0,385.8157819336194,All
-840.0,-780.0,390.910074478977,All
-780.0,-720.0,440.25971407196107,All
-720.0,-660.0,331.79396643981397,All
-660.0,-600.0,578.7371618519564,All
-600.0,-540.0,732.9019101112448,All
-540.0,-480.0,609.4981281321952,All
-480.0,-420.0,557.3893133012668,All
-420.0,-360.0,577.5219397725311,All
-360.0,-300.0,698.9139174112332,All
-300.0,-240.0,656.4398845378741,All
-240.0,-180.0,629.6527765984341,All
-180.0,-120.0,773.3149870673358,All
-120.0,-60.0,692.1960419444957,All
-60.0,0.0,623.3178268730346,All
0.0,60.0,577.8443059528701,All
60.0,120.0,671.9828125393278,All
120.0,180.0,658.7905984502493,All
180.0,240.0,635.4417996161396,All
240.0,300.0,677.2075771986141,All
300.0,360.0,603.3323241922188,All
360.0,420.0,573.4741163366842,All
420.0,480.0,694.3665571856948,All
480.0,540.0,571.1685331318428,All
540.0,600.0,570.3206093645042,All
600.0,660.0,592.4249202836447,All
660.0,720.0,767.8036294898309,All
720.0,780.0,127.03362500781988,All
780.0,840.0,137.42306056622215,All
840.0,900.0,127.40842719843764,All
900.0,960.0,125.69336608428196,All
960.0,1020.0,133.1736184763667,All
1020.0,1080.0,165.39785095974622,All
1080.0,1140.0,121.3135398811575,All
1140.0,1200.0,121.89693092298529,All
1200.0,1260.0,150.01346522730532,All
1260.0,1320.0,134.09056173477254,All
1320.0,1380.0,137.57340865976295,All
1380.0,1440.0,131.5139736341678,All
1440.0,1500.0,163.0115551998646,All
1500.0,1560.0,145.63074131867026,All
1560.0,1620.0,134.2671132228818,All
1620.0,1680.0,167.77831432360898,All
1680.0,1740.0,27.18056970131691,All
1740.0,1800.0,27.855162982716017,All
1800.0,1860.0,29.09220528455083,All
1860.0,1920.0,30.512514729385792,All
1920.0,1980.0,31.25013115042817,All
1980.0,2040.0,30.460483307238675,All
2040.0,2100.0,28.51959112961525,All
2100.0,2160.0,37.24457187153121,All
2160.0,2220.0,29.54421376255105,All
2220.0,2280.0,37.63310629958642,All
2280.0,2340.0,38.59943151964368,All
2340.0,2400.0,39.8192207499262,All
2400.0,2460.0,32.851335656886874,All
2460.0,2520.0,37.370465436839524,All
2520.0,2580.0,41.51948366625923,All
2580.0,2640.0,34.149041961408464,All
2640.0,2700.0,42.123508409484884,All
2700.0,2760.0,34.30226950564558,All
2760.0,2820.0,35.45547535353744,All
2820.0,2880.0,40.76076285223698,All
2880.0,2940.0,32.24095078152236,All
2940.0,3000.0,39.03231090406265,All
