Zmin,Zmax,radius,to_check
1680.0,1906.4,124.43119506854994,All
1906.4,2132.8,119.96140724037365,All
2132.8,2359.2,150.97562237912038,All
2359.2,2585.6,0.3319286914710577,All
2585.6,2812.0,73.05038284023894,All
2812.0,3038.4,143.5706218907844,All
3038.4,3264.8,112.72796830311079,All
3264.8,3491.2,0.1002237095650462,All
3491.2,3717.6,123.6630912327182,All
3717.6,3944.0,134.11348229841153,All
3944.0,4170.4,72.80155035111919,All
4170.4,4396.8,2.541986059172992,All
4396.8,4623.200000000002,144.74135687863404,All
4623.200000000002,4849.6,94.52729492252476,All
4849.6,5076.0,111.47029502068293,All
5076.0,5302.4,157.48228635195332,All
5302.4,5528.8,23.652385587489327,All
5528.8,5755.200000000003,111.53576483325723,All
5755.200000000003,5981.6,57.005885139597815,All
5981.6,6208.0,157.03765917877791,All
6208.0,6434.400000000002,10.810307207723877,All
6434.400000000002,6660.8,110.7394077454133,All
6660.8,6887.2,61.825665095508576,All
6887.2,7113.6,95.80153648384905,All
7113.6,7340.0,119.24918154251951,All
7340.0,7566.400000000002,125.79803317781835,All
7566.400000000002,7792.8,28.69782831873826,All
7792.8,8019.2,139.87827669468837,All
8019.2,8245.6,41.060034289834036,All
8245.6,8472.0,84.89115179491121,All
8472.0,8698.400000000001,61.38730755927333,All
8698.400000000001,8924.8,38.91794225914471,All
8924.8,9151.2,123.37425632377136,All
9151.2,9377.6,150.91476542199405,All
9377.6,9604.0,123.18912081504378,All
9604.0,9830.4,58.67795022659193,All
9830.4,10056.8,11.557187486206635,All
10056.8,10283.2,138.81557601125368,All
10283.2,10509.6,68.17363366460638,All
10509.6,10736.0,141.93015872269737,All
10736.0,10962.4,92.70713716477242,All
10962.4,11188.8,98.48712834049644,All
11188.8,11415.2,59.75981258347157,All
11415.2,11641.6,76.58748526120685,All
11641.6,11868.0,58.68829622707469,All
11868.0,12094.4,72.64187778357311,All
12094.4,12320.8,146.55046206242105,All
12320.8,12547.2,15.368919804325344,All
12547.2,12773.6,92.00770648145912,All
12773.6,13000.0,91.4611697597104,All
-2376.8,-2160.0,65.51675969138469,All
-2593.6,-2376.8,148.87049513125697,All
-2810.4,-2593.6,39.09222889330149,All
-3027.2,-2810.4,150.24486397379704,All
-3244.0,-3027.2,105.69293304485271,All
-3460.8,-3244.0,30.962989540501656,All
-3677.6,-3460.8,9.598352559366012,All
-3894.4,-3677.6,84.5556313279607,All
-4111.2,-3894.4,37.377578339140676,All
-4328.0,-4111.2,142.956755518271,All
-4544.8,-4328.0,25.343914571754752,All
-4761.6,-4544.8,50.83395001881367,All
-4978.4,-4761.6,104.39416528512642,All
-5195.200000000002,-4978.4,62.990569700127274,All
-5412.0,-5195.200000000002,133.03470456440988,All
-5628.8,-5412.0,156.90960949084203,All
-5845.6,-5628.8,88.6471775973176,All
-6062.4,-5845.6,110.73652795283805,All
-6279.2,-6062.4,24.66932666455458,All
-6496.0,-6279.2,104.95770179516745,All
-6712.8,-6496.0,86.90012746801834,All
-6929.6,-6712.8,40.622305207931426,All
-7146.400000000002,-6929.6,22.233615455245484,All
-7363.200000000003,-7146.400000000002,26.705296322665898,All
-7580.0,-7363.200000000003,145.85572419370956,All
-7796.8,-7580.0,55.20353052853323,All
-8013.6,-7796.8,0.011611938161082414,All
-8230.400000000001,-8013.6,105.05760604733229,All
-8447.2,-8230.400000000001,118.14649389751713,All
-8664.0,-8447.2,119.77850574229788,All
-8880.8,-8664.0,30.193834020923266,All
-9097.6,-8880.8,80.33758056552948,All
-9314.4,-9097.6,8.664323738700213,All
-9531.2,-9314.4,141.46197663852317,All
-9748.0,-9531.2,88.95885807244879,All
-9964.8,-9748.0,113.39900985298272,All
-10181.6,-9964.8,135.67708866701818,All
-10398.4,-10181.6,100.2954665723145,All
-10615.2,-10398.4,129.0970710413895,All
-10832.0,-10615.2,81.69323764016565,All
-11048.8,-10832.0,116.70625694598488,All
-11265.6,-11048.8,96.96300580091295,All
-11482.4,-11265.6,95.5635825567724,All
-11699.2,-11482.4,47.6978275275359,All
-11916.0,-11699.2,101.09331430728963,All
-12132.8,-11916.0,155.59476450870423,All
-12349.6,-12132.8,61.062755330644684,All
-12566.4,-12349.6,109.2737912984808,All
-12783.2,-12566.4,3.1971881239131807,All
-13000.0,-12783.2,15.265290205437472,All
-2160.0,-2100.0,340.801087119766,All
-2100.0,-2040.0,369.94521082258,All
-2040.0,-1980.0,410.319459456767,All
-1980.0,-1920.0,322.762564187532,All
-1920.0,-1860.0,357.661992377212,All
-1860.0,-1800.0,327.83477637735,All
-1800.0,-1740.0,358.037119013782,All
-1740.0,-1680.0,321.437096280707,All
-1680.0,-1620.0,351.45164201218597,All
-1620.0,-1560.0,318.142318517594,All
-1560.0,-1500.0,292.864795660476,All
-1500.0,-1440.0,364.525352525902,All
-1440.0,-1380.0,294.102289738386,All
-1380.0,-1320.0,350.68387349330806,All
-1320.0,-1260.0,290.20634828255004,All
-1260.0,-1200.0,389.31670268556,All
-1200.0,-1140.0,300.94725362417597,All
-1140.0,-1080.0,385.757696133117,All
-1080.0,-1020.0,406.44643102026396,All
-1020.0,-960.0,412.092019630329,All
-960.0,-900.0,369.298754673601,All
-900.0,-840.0,369.950002471092,All
-840.0,-780.0,397.308548857062,All
-780.0,-720.0,427.85869484927,All
-720.0,-660.0,339.356891228888,All
-660.0,-600.0,565.9317371132161,All
-600.0,-540.0,712.4220976537981,All
-540.0,-480.0,630.570181142061,All
-480.0,-420.0,530.854168503553,All
-420.0,-360.0,572.5671377717949,All
-360.0,-300.0,681.940826587639,All
-300.0,-240.0,658.543923806699,All
-240.0,-180.0,614.378455316684,All
-180.0,-120.0,785.050171563181,All
-120.0,-60.0,706.752753453765,All
-60.0,0.0,641.9413008505829,All
0.0,60.0,580.77500572193,All
60.0,120.0,662.8776493345571,All
120.0,180.0,679.560261789196,All
180.0,240.0,643.070192516519,All
240.0,300.0,684.9409912587059,All
300.0,360.0,580.748158176109,All
360.0,420.0,593.109171923076,All
420.0,480.0,679.446807544537,All
480.0,540.0,550.93597811746,All
540.0,600.0,562.174001141575,All
600.0,660.0,592.872096084647,All
660.0,720.0,787.7266354261142,All
720.0,780.0,125.780171377632,All
780.0,840.0,136.35955675566,All
840.0,900.0,126.292691775539,All
900.0,960.0,130.552794666997,All
960.0,1020.0,130.048175096381,All
1020.0,1080.0,159.133441875276,All
1080.0,1140.0,126.9055977625,All
1140.0,1200.0,118.084425621026,All
1200.0,1260.0,154.53623643807,All
1260.0,1320.0,127.89525340836799,All
1320.0,1380.0,142.52793295323798,All
1380.0,1440.0,128.296226214175,All
1440.0,1500.0,158.262471994992,All
1500.0,1560.0,145.251436469564,All
1560.0,1620.0,137.76906721828698,All
1620.0,1680.0,167.957605148922,All
