Zmin,Zmax,radius,to_check
-3000.0,-2940.0,31.251060823696427,All
-2940.0,-2880.0,29.65099475584266,All
-2880.0,-2820.0,31.347404984489497,All
-2820.0,-2760.0,28.431137790241564,All
-2760.0,-2700.0,30.135275289687552,All
-2700.0,-2640.0,34.01336229344502,All
-2640.0,-2580.0,34.30744155178309,All
-2580.0,-2520.0,34.731257488809206,All
-2520.0,-2460.0,28.05726283642005,All
-2460.0,-2400.0,35.172875477429045,All
-2400.0,-2340.0,32.37190473794081,All
-2340.0,-2280.0,32.099972758622286,All
-2280.0,-2220.0,29.06976855092207,All
-2220.0,-2160.0,34.662797850212,All
-2160.0,-2100.0,340.8010871197657,All
-2100.0,-2040.0,369.9452108225802,All
-2040.0,-1980.0,410.31945945676665,All
-1980.0,-1920.0,322.7625641875325,All
-1920.0,-1860.0,357.66199237721213,All
-1860.0,-1800.0,327.83477637734984,All
-1800.0,-1740.0,358.037119013782,All
-1740.0,-1680.0,321.43709628070684,All
-1680.0,-1620.0,351.4516420121862,All
-1620.0,-1560.0,318.14231851759376,All
-1560.0,-1500.0,292.8647956604761,All
-1500.0,-1440.0,364.5253525259017,All
-1440.0,-1380.0,294.1022897383862,All
-1380.0,-1320.0,350.68387349330754,All
-1320.0,-1260.0,290.2063482825495,All
-1260.0,-1200.0,389.3167026855599,All
-1200.0,-1140.0,300.94725362417597,All
-1140.0,-1080.0,385.75769613311684,All
-1080.0,-1020.0,406.4464310202641,All
-1020.0,-960.0,412.0920196303288,All
-960.0,-900.0,369.29875467360114,All
-900.0,-840.0,369.9500024710917,All
-840.0,-780.0,397.3085488570623,All
-780.0,-720.0,427.8586948492698,All
-720.0,-660.0,339.3568912288879,All
-660.0,-600.0,565.9317371132156,All
-600.0,-540.0,712.4220976537981,All
-540.0,-480.0,630.5701811420614,All
-480.0,-420.0,530.8541685035534,All
-420.0,-360.0,572.5671377717953,All
-360.0,-300.0,681.9408265876389,All
-300.0,-240.0,658.5439238066988,All
-240.0,-180.0,614.3784553166844,All
-180.0,-120.0,785.0501715631807,All
-120.0,-60.0,706.7527534537645,All
-60.0,0.0,641.9413008505827,All
0.0,60.0,580.7750057219296,All
60.0,120.0,662.8776493345567,All
120.0,180.0,679.5602617891955,All
180.0,240.0,643.0701925165192,All
240.0,300.0,684.9409912587063,All
300.0,360.0,580.748158176109,All
360.0,420.0,593.109171923076,All
420.0,480.0,679.4468075445373,All
480.0,540.0,550.9359781174603,All
540.0,600.0,562.1740011415752,All
600.0,660.0,592.8720960846466,All
660.0,720.0,787.7266354261137,All
720.0,780.0,125.78017137763227,All
780.0,840.0,136.35955675565987,All
840.0,900.0,126.29269177553877,All
900.0,960.0,130.55279466699736,All
960.0,1020.0,130.04817509638053,All
1020.0,1080.0,159.13344187527602,All
1080.0,1140.0,126.90559776249994,All
1140.0,1200.0,118.08442562102606,All
1200.0,1260.0,154.5362364380704,All
1260.0,1320.0,127.89525340836755,All
1320.0,1380.0,142.52793295323764,All
1380.0,1440.0,128.29622621417462,All
1440.0,1500.0,158.26247199499218,All
1500.0,1560.0,145.25143646956374,All
1560.0,1620.0,137.76906721828695,All
1620.0,1680.0,167.95760514892203,All
1680.0,1740.0,28.001572468709483,All
1740.0,1800.0,28.80013253085201,All
1800.0,1860.0,30.149005460386554,All
1860.0,1920.0,30.33045920960684,All
1920.0,1980.0,32.04467911933683,All
1980.0,2040.0,30.397262528779716,All
2040.0,2100.0,29.14301152895865,All
2100.0,2160.0,38.9966144126225,All
2160.0,2220.0,30.42038159098412,All
2220.0,2280.0,38.48548962725771,All
2280.0,2340.0,39.55691908157055,All
2340.0,2400.0,41.4786892134699,All
2400.0,2460.0,32.969019395215646,All
2460.0,2520.0,39.177407232221476,All
2520.0,2580.0,41.46439422091293,All
2580.0,2640.0,32.59252681991912,All
2640.0,2700.0,41.3991132372661,All
2700.0,2760.0,34.457884929493,All
2760.0,2820.0,37.153181314368545,All
2820.0,2880.0,41.212686282230614,All
2880.0,2940.0,31.346447565891648,All
2940.0,3000.0,38.47768469293452,All
